nohup: ignoring input
INFO:     Started server process [3439032]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[TOKEN_SERVICE] Registered token 68f1d394-44d7-48da-9692-e15ac0983b54: action=squid, type=summon_entity, entity=squid, item=None
INFO:     10.0.0.19:60620 - "POST /api/tokens/register HTTP/1.1" 200 OK
INFO:     10.0.0.19:42540 - "GET /api/tokens/nearby?lat=40.0758&lon=-105.3008&limit=10 HTTP/1.1" 200 OK
[TOKEN_SERVICE] Registered token 86c837d0-d181-4dc3-95a9-24f75ee57534: action=strider, type=summon_entity, entity=strider, item=None
INFO:     10.0.0.152:62980 - "POST /api/tokens/register HTTP/1.1" 200 OK
INFO:     10.0.0.194:50783 - "GET /api/tokens/nearby?lat=40.075811&lon=-105.300834&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:50784 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.19:46350 - "POST /api/tokens/register HTTP/1.1" 400 Bad Request
INFO:     10.0.0.19:51354 - "GET /api/tokens/nearby?lat=40.7580&lon=-105.3009&limit=5 HTTP/1.1" 200 OK
INFO:     10.0.0.194:50785 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:50786 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.19:38780 - "GET /api/tokens/nearby?lat=40.7580&lon=-105.3009&limit=5 HTTP/1.1" 200 OK
INFO:     10.0.0.194:50787 - "GET /api/tokens/nearby?lat=40.075820&lon=-105.300815&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:50788 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:50789 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:50790 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:50791 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.152:62983 - "GET /players HTTP/1.1" 200 OK
INFO:     10.0.0.194:50792 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:50793 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:50794 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:50795 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64537 - "GET /api/tokens/nearby?lat=40.075835&lon=-105.300847&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64538 - "POST /summon HTTP/1.1" 200 OK
[TOKEN_SERVICE] Registered token 4e5789d6-7dbf-40be-96e2-506b8aba0531: action=pufferfish, type=summon_entity, entity=pufferfish, item=None
INFO:     10.0.0.152:62984 - "POST /api/tokens/register HTTP/1.1" 200 OK
INFO:     10.0.0.194:64539 - "GET /api/tokens/nearby?lat=40.075844&lon=-105.300835&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64540 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64541 - "GET /api/tokens/nearby?lat=40.075843&lon=-105.300835&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64542 - "GET /api/tokens/nearby?lat=40.075843&lon=-105.300835&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64543 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64544 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64545 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64546 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64547 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64548 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64549 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.152:62987 - "GET /players HTTP/1.1" 200 OK
[TOKEN_SERVICE] Registered token 4e8d4d2f-6658-4326-a615-8e322ccd8cba: action=parrot, type=summon_entity, entity=parrot, item=None
INFO:     10.0.0.152:62988 - "POST /api/tokens/register HTTP/1.1" 200 OK
INFO:     10.0.0.194:64550 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64551 - "GET /api/tokens/nearby?lat=40.075854&lon=-105.300828&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64552 - "GET /api/tokens/nearby?lat=40.075849&lon=-105.300829&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64553 - "POST /api/device/location HTTP/1.1" 200 OK
[TOKEN_SERVICE] Registered token 7755e8d2-11a6-4108-bcbb-0d013c5efdb9: action=allay, type=summon_entity, entity=allay, item=None
INFO:     10.0.0.152:62989 - "POST /api/tokens/register HTTP/1.1" 200 OK
INFO:     10.0.0.194:64554 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64555 - "GET /api/tokens/nearby?lat=40.075823&lon=-105.300834&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64556 - "GET /api/tokens/nearby?lat=40.075820&lon=-105.300825&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64557 - "POST /api/device/location HTTP/1.1" 200 OK
[TOKEN_SERVICE] Registered token ee902083-4e95-462d-8ba0-0fe29b339bb3: action=ender_dragon, type=summon_entity, entity=ender_dragon, item=None
INFO:     10.0.0.152:62990 - "POST /api/tokens/register HTTP/1.1" 200 OK
INFO:     10.0.0.194:64558 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64559 - "GET /api/tokens/nearby?lat=40.075844&lon=-105.300817&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64560 - "POST /time HTTP/1.1" 200 OK
INFO:     10.0.0.194:64561 - "POST /summon HTTP/1.1" 200 OK
INFO:     10.0.0.194:64562 - "POST /time HTTP/1.1" 200 OK
INFO:     10.0.0.194:64563 - "POST /summon HTTP/1.1" 200 OK
INFO:     10.0.0.194:64564 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64565 - "GET /api/tokens/nearby?lat=40.075851&lon=-105.300816&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64566 - "GET /api/tokens/nearby?lat=40.075848&lon=-105.300813&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64567 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64568 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64569 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64570 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64571 - "POST /time HTTP/1.1" 200 OK
INFO:     10.0.0.194:64572 - "POST /summon HTTP/1.1" 200 OK
INFO:     10.0.0.194:64573 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.152:62993 - "GET /players HTTP/1.1" 200 OK
INFO:     10.0.0.194:64574 - "POST /api/device/location HTTP/1.1" 200 OK
[TOKEN_SERVICE] Registered token 21267467-3799-48a5-b6ab-d84d29523ad7: action=horse, type=summon_entity, entity=horse, item=None
INFO:     10.0.0.152:62994 - "POST /api/tokens/register HTTP/1.1" 200 OK
INFO:     10.0.0.194:64575 - "GET /api/tokens/nearby?lat=40.075790&lon=-105.300842&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64576 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:52591 - "GET /api/tokens/nearby?lat=40.075786&lon=-105.300839&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:52592 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:52593 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.152:62997 - "GET /players HTTP/1.1" 200 OK
INFO:     10.0.0.194:52594 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64331 - "GET /api/tokens/nearby?lat=40.075812&lon=-105.300839&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:64332 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64333 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64334 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64335 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64336 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64337 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:64338 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:62640 - "GET /api/tokens/nearby?lat=40.075801&lon=-105.300780&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:62641 - "GET /api/tokens/nearby?lat=40.075799&lon=-105.300780&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:62642 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:62643 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:62644 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:58993 - "GET /api/tokens/nearby?lat=40.075808&lon=-105.300786&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:58994 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:58995 - "GET /api/tokens/nearby?lat=40.075809&lon=-105.300768&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:58996 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:58997 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:58998 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:58999 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:59000 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:59001 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:59002 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:49622 - "GET /api/tokens/nearby?lat=40.075828&lon=-105.300783&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:49623 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:49624 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:49625 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:60172 - "GET /api/tokens/nearby?lat=40.075789&lon=-105.300816&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:60173 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:60174 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:56560 - "GET /api/tokens/nearby?lat=40.075813&lon=-105.300783&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:56561 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:56562 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:53752 - "GET /api/tokens/nearby?lat=40.075731&lon=-105.300798&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:53753 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:53754 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:62804 - "GET /api/tokens/nearby?lat=40.075820&lon=-105.300787&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:62805 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:55911 - "GET /api/tokens/nearby?lat=40.075801&lon=-105.300775&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:55912 - "GET /api/tokens/nearby?lat=40.075813&lon=-105.300766&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:55913 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:56572 - "GET /api/tokens/nearby?lat=40.075819&lon=-105.300838&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:56573 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:56005 - "GET /api/tokens/nearby?lat=40.075826&lon=-105.300792&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:56006 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:56007 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:61231 - "GET /api/tokens/nearby?lat=40.075794&lon=-105.300830&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:61232 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:59976 - "GET /api/tokens/nearby?lat=40.075772&lon=-105.300805&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:59977 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:59978 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:59979 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:54692 - "GET /api/tokens/nearby?lat=40.075797&lon=-105.300782&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:54693 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:54694 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:52843 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:52844 - "GET /api/tokens/nearby?lat=40.075795&lon=-105.300849&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:52845 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:52846 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:52847 - "POST /api/device/location HTTP/1.1" 200 OK
INFO:     10.0.0.194:51823 - "GET /api/tokens/nearby?lat=40.075751&lon=-105.300847&limit=10 HTTP/1.1" 200 OK
INFO:     10.0.0.194:51824 - "POST /api/device/location HTTP/1.1" 200 OK
